"bea_code","bea_title","ast_flag","matched_naics","match_digits","ppi_series","begin_year","status","n_ppi","naics_all"
"333612","Speed changer, industrial high-speed drive, and gear manufacturing",FALSE,"333612",6,"PCU333612333612",1947,"matched",1,"333612"
"333613","Mechanical power transmission equipment manufacturing",FALSE,"333613",6,"PCU333613333613",1984,"matched",1,"333613"
"333618","Other engine equipment manufacturing",FALSE,"333618",6,"PCU333618333618",1967,"matched",1,"333618"
"333912","Air and gas compressor manufacturing",FALSE,"333912",6,"PCU333912333912",1984,"matched",1,"333912"
"333914","Measuring, dispensing, and other pumping equipment manufacturing",FALSE,"333914",6,"PCU333914333914",1983,"matched",1,"333914"
"333920","Material handling equipment manufacturing",FALSE,"33392",5,"PCU33392-33392-",2003,"matched",1,"33392"
"333991","Power-driven handtool manufacturing",FALSE,"33399",5,"PCU33399-33399-",2003,"matched",1,"33399"
"333993","Packaging machinery manufacturing",FALSE,"333993",6,"PCU333993333993",1988,"matched",1,"333993"
"333994","Industrial process furnace and oven manufacturing",FALSE,"333994",6,"PCU333994333994",1981,"matched",1,"333994"
"33399A","Other general purpose machinery manufacturing",FALSE,"333992",6,"PCU333992333992",1972,"matched",2,"33399, 333992"
"33399B","Fluid power process machinery",FALSE,"333995",6,"PCU333995333995",1990,"matched",2,"333995, 333996"
"334111","Electronic computer manufacturing",FALSE,"334111",6,"PCU334111334111",1990,"matched",1,"334111"
"334112","Computer storage device manufacturing",FALSE,"334112",6,"PCU334112334112",1992,"matched",1,"334112"
"334118","Computer terminals and other computer peripheral equipment manufacturing",FALSE,"334118",6,"PCU334118334118",1993,"matched",1,"334118"
"334210","Telephone apparatus manufacturing",FALSE,"33421",5,"PCU33421-33421-",2003,"matched",1,"33421"
"334220","Broadcast and wireless communications equipment",FALSE,"33422",5,"PCU33422-33422-",2003,"matched",1,"33422"
"334290","Other communications equipment manufacturing",FALSE,"3342",4,"PCU3342--3342--",1985,"matched",1,"3342"
"334300","Audio and video equipment manufacturing",FALSE,"3343",4,"PCU3343--3343--",2003,"matched",1,"3343"
"334413","Semiconductor and related device manufacturing",FALSE,"334413",6,"PCU334413334413",1967,"matched",1,"334413"
"334418","Printed circuit assembly (electronic assembly) manufacturing",FALSE,"334418",6,"PCU334418334418",2003,"matched",1,"334418"
"33441A","Other electronic component manufacturing",FALSE,"334412",6,"PCU334412334412",1991,"matched",4,"33441, 334412, 334417, 334419"
"334510","Electromedical and electrotherapeutic apparatus manufacturing",FALSE,"334510",6,"PCU334510334510",1985,"matched",1,"334510"
"334511","Search, detection, and navigation instruments manufacturing",FALSE,"334511",6,"PCU334511334511",1991,"matched",1,"334511"
"334512","Automatic environmental control manufacturing",FALSE,"334512",6,"PCU334512334512",1979,"matched",1,"334512"
"334513","Industrial process variable instruments manufacturing",FALSE,"334513",6,"PCU334513334513",1983,"matched",1,"334513"
